"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Omzet ongecorrigeerd/Indexcijfers/Waarde (2015=100)";"Omzet ongecorrigeerd/Indexcijfers/Volume (2015=100)"
"4711, 472 Winkels in voedingsmiddelen";"2005 januari";"    73.1";"    86.4"
"4711, 472 Winkels in voedingsmiddelen";"2005 februari";"    71.5";"    83.9"
"4711, 472 Winkels in voedingsmiddelen";"2005 maart";"    83.0";"    96.8"
"4711, 472 Winkels in voedingsmiddelen";"2005 april";"    79.8";"    94.1"
"4711, 472 Winkels in voedingsmiddelen";"2005 mei";"    78.5";"    92.1"
"4711, 472 Winkels in voedingsmiddelen";"2005 juni";"    82.3";"    96.5"
"4711, 472 Winkels in voedingsmiddelen";"2005 juli";"    81.2";"    95.8"
"4711, 472 Winkels in voedingsmiddelen";"2005 augustus";"    77.1";"    90.6"
"4711, 472 Winkels in voedingsmiddelen";"2005 september";"    80.3";"    95.5"
"4711, 472 Winkels in voedingsmiddelen";"2005 oktober";"    78.5";"    93.0"
"4711, 472 Winkels in voedingsmiddelen";"2005 november";"    79.4";"    93.9"
"4711, 472 Winkels in voedingsmiddelen";"2005 december";"    96.6";"   113.7"
"4711, 472 Winkels in voedingsmiddelen";"2006 januari";"    75.2";"    88.1"
"4711, 472 Winkels in voedingsmiddelen";"2006 februari";"    73.5";"    85.9"
"4711, 472 Winkels in voedingsmiddelen";"2006 maart";"    85.5";"    99.8"
"4711, 472 Winkels in voedingsmiddelen";"2006 april";"    81.8";"    95.1"
"4711, 472 Winkels in voedingsmiddelen";"2006 mei";"    84.0";"    97.8"
"4711, 472 Winkels in voedingsmiddelen";"2006 juni";"    87.9";"   102.0"
"4711, 472 Winkels in voedingsmiddelen";"2006 juli";"    82.3";"    95.9"
"4711, 472 Winkels in voedingsmiddelen";"2006 augustus";"    82.1";"    95.1"
"4711, 472 Winkels in voedingsmiddelen";"2006 september";"    84.9";"    98.3"
"4711, 472 Winkels in voedingsmiddelen";"2006 oktober";"    79.7";"    93.0"
"4711, 472 Winkels in voedingsmiddelen";"2006 november";"    82.9";"    96.5"
"4711, 472 Winkels in voedingsmiddelen";"2006 december";"    96.6";"   112.4"
"4711, 472 Winkels in voedingsmiddelen";"2007 januari";"    79.0";"    91.6"
"4711, 472 Winkels in voedingsmiddelen";"2007 februari";"    76.9";"    89.0"
"4711, 472 Winkels in voedingsmiddelen";"2007 maart";"    90.8";"   105.2"
"4711, 472 Winkels in voedingsmiddelen";"2007 april";"    82.6";"    95.3"
"4711, 472 Winkels in voedingsmiddelen";"2007 mei";"    88.3";"   102.4"
"4711, 472 Winkels in voedingsmiddelen";"2007 juni";"    90.9";"   105.1"
"4711, 472 Winkels in voedingsmiddelen";"2007 juli";"    81.6";"    94.4"
"4711, 472 Winkels in voedingsmiddelen";"2007 augustus";"    87.3";"   101.1"
"4711, 472 Winkels in voedingsmiddelen";"2007 september";"    83.7";"    96.8"
"4711, 472 Winkels in voedingsmiddelen";"2007 oktober";"    85.5";"    98.2"
"4711, 472 Winkels in voedingsmiddelen";"2007 november";"    89.6";"   102.0"
"4711, 472 Winkels in voedingsmiddelen";"2007 december";"   101.1";"   114.6"
"4711, 472 Winkels in voedingsmiddelen";"2008 januari";"    84.0";"    94.6"
"4711, 472 Winkels in voedingsmiddelen";"2008 februari";"    87.3";"    97.7"
"4711, 472 Winkels in voedingsmiddelen";"2008 maart";"    92.3";"   102.5"
"4711, 472 Winkels in voedingsmiddelen";"2008 april";"    88.1";"    97.5"
"4711, 472 Winkels in voedingsmiddelen";"2008 mei";"    99.1";"   109.2"
"4711, 472 Winkels in voedingsmiddelen";"2008 juni";"    88.5";"    97.2"
"4711, 472 Winkels in voedingsmiddelen";"2008 juli";"    90.1";"    98.7"
"4711, 472 Winkels in voedingsmiddelen";"2008 augustus";"    91.3";"   100.1"
"4711, 472 Winkels in voedingsmiddelen";"2008 september";"    87.2";"    95.4"
"4711, 472 Winkels in voedingsmiddelen";"2008 oktober";"    94.2";"   102.8"
"4711, 472 Winkels in voedingsmiddelen";"2008 november";"    89.4";"    96.9"
"4711, 472 Winkels in voedingsmiddelen";"2008 december";"   105.8";"   114.2"
"4711, 472 Winkels in voedingsmiddelen";"2009 januari";"    91.1";"    98.0"
"4711, 472 Winkels in voedingsmiddelen";"2009 februari";"    83.3";"    89.1"
"4711, 472 Winkels in voedingsmiddelen";"2009 maart";"    90.0";"    96.0"
